GEOID,ffiec_income_level_2024
24003701101,Upper
24003701103,Middle
24003701104,Middle
24003701201,Upper
24003701202,Upper
24003701301,Upper
24003701302,Upper
24003701400,Upper
24003702100,Upper
24003702204,Upper
24003702205,Middle
24003702206,Upper
24003702208,Upper
24003702209,Upper
24003702300,Upper
24003702402,Upper
24003702500,Middle
24003702601,Upper
24003702602,Upper
24003702702,Upper
24003702703,Upper
24003702704,Middle
24003706102,Upper
24003706103,Middle
24003706302,Upper
24003706303,Middle
24003706304,Middle
24003706402,Middle
24003706403,Middle
24003706404,Unknown
24003706500,Middle
24003706600,Upper
24003706700,Middle
24003707001,Middle
24003707002,Middle
24003708001,Middle
24003708004,Moderate
24003730101,Moderate
24003730102,Middle
24003730204,Middle
24003730205,Moderate
24003730206,Moderate
24003730300,Middle
24003730401,Middle
24003730403,Moderate
24003730404,Moderate
24003730507,Upper
24003730508,Moderate
24003730509,Middle
24003730510,Middle
24003730511,Low
24003730512,Moderate
24003730513,Moderate
24003730514,Low
24003730601,Upper
24003730603,Upper
24003730605,Upper
24003730606,Upper
24003730701,Upper
24003730702,Upper
24003730800,Upper
24003730901,Upper
24003730902,Upper
24003731002,Upper
24003731003,Middle
24003731004,Upper
24003731103,Upper
24003731104,Middle
24003731105,Upper
24003731106,Upper
24003731107,Upper
24003731201,Upper
24003731205,Upper
24003731206,Upper
24003731207,Upper
24003731208,Upper
24003731209,Upper
24003731210,Middle
24003731303,Upper
24003731306,Upper
24003731307,Middle
24003731308,Middle
24003731309,Middle
24003731310,Middle
24003731312,Middle
24003731313,Middle
24003740103,Upper
24003740104,Middle
24003740105,Middle
24003740106,Middle
24003740107,Upper
24003740108,Middle
24003740203,Upper
24003740204,Middle
24003740205,Middle
24003740303,Upper
24003740304,Middle
24003740305,Middle
24003740400,Unknown
24003740501,Middle
24003740502,Upper
24003740601,Moderate
24003740602,Moderate
24003740603,Moderate
24003740701,Middle
24003740703,Upper
24003740704,Upper
24003740800,Upper
24003740900,Middle
24003741000,Upper
24003750101,Moderate
24003750102,Moderate
24003750201,Moderate
24003750204,Middle
24003750300,Middle
24003750400,Middle
24003750801,Middle
24003750803,Moderate
24003750804,Middle
24003750900,Middle
24003751000,Middle
24003751102,Middle
24003751103,Moderate
24003751200,Middle
24003751400,Upper
24003751500,Moderate
24003751600,Upper
24003751700,Upper
24003980000,Unknown
24003990000,Unknown
24005400100,Middle
24005400200,Middle
24005400400,Upper
24005400500,Upper
24005400600,Middle
24005400701,Middle
24005400702,Middle
24005400800,Middle
24005400900,Moderate
24005401000,Middle
24005401101,Moderate
24005401102,Moderate
24005401200,Moderate
24005401301,Moderate
24005401302,Moderate
24005401400,Upper
24005401503,Upper
24005401504,Middle
24005401505,Middle
24005401506,Middle
24005401507,Moderate
24005402201,Middle
24005402202,Upper
24005402302,Middle
24005402303,Moderate
24005402304,Moderate
24005402305,Low
24005402306,Moderate
24005402307,Moderate
24005402403,Middle
24005402404,Moderate
24005402405,Moderate
24005402407,Middle
24005402408,Moderate
24005402409,Moderate
24005402503,Moderate
24005402504,Middle
24005402505,Middle
24005402506,Middle
24005402510,Middle
24005402511,Middle
24005402602,Middle
24005402603,Middle
24005402604,Middle
24005403100,Moderate
24005403201,Moderate
24005403202,Middle
24005403300,Middle
24005403401,Middle
24005403402,Moderate
24005403500,Middle
24005403601,Middle
24005403602,Middle
24005403702,Middle
24005403703,Middle
24005403704,Upper
24005403801,Upper
24005403802,Upper
24005403803,Upper
24005404101,Middle
24005404102,Middle
24005404201,Middle
24005404202,Moderate
24005404402,Middle
24005404403,Moderate
24005404404,Upper
24005404501,Middle
24005404502,Moderate
24005404600,Upper
24005404800,Upper
24005404900,Upper
24005405000,Middle
24005406000,Upper
24005407001,Upper
24005407002,Middle
24005408100,Upper
24005408200,Upper
24005408302,Upper
24005408303,Upper
24005408304,Upper
24005408400,Middle
24005408502,Upper
24005408503,Middle
24005408505,Middle
24005408506,Moderate
24005408507,Middle
24005408601,Upper
24005408602,Upper
24005408702,Upper
24005408703,Upper
24005408704,Upper
24005408800,Upper
24005408900,Upper
24005410100,Upper
24005410200,Upper
24005411101,Middle
24005411102,Middle
24005411201,Upper
24005411202,Upper
24005411302,Upper
24005411303,Middle
24005411306,Middle
24005411307,Middle
24005411308,Middle
24005411309,Upper
24005411404,Middle
24005411406,Middle
24005411408,Moderate
24005411409,Middle
24005411410,Middle
24005411411,Middle
24005411412,Moderate
24005411413,Moderate
24005420100,Moderate
24005420200,Middle
24005420301,Low
24005420302,Moderate
24005420303,Moderate
24005420401,Moderate
24005420402,Moderate
24005420500,Moderate
24005420600,Moderate
24005420701,Low
24005420702,Moderate
24005420800,Moderate
24005420900,Moderate
24005421000,Moderate
24005421101,Low
24005421102,Moderate
24005421200,Moderate
24005430101,Moderate
24005430104,Moderate
24005430200,Middle
24005430300,Low
24005430400,Middle
24005430600,Upper
24005430700,Middle
24005430800,Middle
24005430900,Low
24005440100,Middle
24005440200,Moderate
24005440300,Moderate
24005440400,Moderate
24005440500,Middle
24005440600,Middle
24005440701,Moderate
24005440702,Middle
24005440800,Middle
24005440900,Moderate
24005441000,Moderate
24005441101,Middle
24005441102,Middle
24005450100,Middle
24005450200,Moderate
24005450300,Middle
24005450400,Moderate
24005450501,Moderate
24005450503,Moderate
24005450504,Low
24005450800,Middle
24005450900,Middle
24005451000,Middle
24005451100,Middle
24005451200,Middle
24005451300,Moderate
24005451401,Moderate
24005451402,Moderate
24005451500,Moderate
24005451600,Moderate
24005451701,Upper
24005451702,Middle
24005451801,Moderate
24005451802,Middle
24005451803,Middle
24005451900,Middle
24005452000,Middle
24005452100,Middle
24005452300,Moderate
24005452400,Moderate
24005452500,Moderate
24005490100,Upper
24005490200,Upper
24005490302,Middle
24005490303,Moderate
24005490304,Middle
24005490400,Upper
24005490500,Upper
24005490601,Upper
24005490602,Middle
24005490603,Upper
24005490605,Unknown
24005490701,Upper
24005490703,Upper
24005490800,Upper
24005490900,Middle
24005491000,Upper
24005491100,Upper
24005491201,Middle
24005491202,Middle
24005491300,Middle
24005491401,Moderate
24005491402,Moderate
24005491500,Middle
24005491600,Moderate
24005491701,Moderate
24005491900,Middle
24005492001,Moderate
24005492002,Middle
24005492101,Moderate
24005492102,Middle
24005492200,Middle
24005492300,Moderate
24005492401,Middle
24005492402,Middle
24005492500,Unknown
24005492600,Middle
24005492700,Low
24005980100,Unknown
24005980200,Unknown
24013501001,Middle
24013501002,Moderate
24013502000,Middle
24013503000,Middle
24013504100,Upper
24013504201,Upper
24013504202,Upper
24013505101,Upper
24013505102,Upper
24013505203,Upper
24013505205,Upper
24013505206,Upper
24013505207,Upper
24013505208,Upper
24013506101,Middle
24013506102,Middle
24013506200,Middle
24013507500,Upper
24013507601,Middle
24013507602,Middle
24013507702,Middle
24013507703,Middle
24013507704,Middle
24013507801,Middle
24013507802,Middle
24013508103,Middle
24013508200,Middle
24013509001,Middle
24013509002,Upper
24013510000,Middle
24013511000,Middle
24013512000,Middle
24013513001,Upper
24013513002,Upper
24013514100,Upper
24013514201,Upper
24013514202,Upper
24025301102,Upper
24025301105,Middle
24025301106,Upper
24025301107,Moderate
24025301108,Upper
24025301201,Middle
24025301202,Middle
24025301204,Middle
24025301205,Middle
24025301301,Middle
24025301302,Moderate
24025301401,Middle
24025301402,Middle
24025301601,Moderate
24025301602,Middle
24025301703,Upper
24025301704,Moderate
24025301705,Moderate
24025301706,Upper
24025301707,Middle
24025302100,Upper
24025302200,Middle
24025302400,Middle
24025302801,Middle
24025302802,Middle
24025302901,Low
24025302902,Moderate
24025303101,Middle
24025303102,Upper
24025303201,Upper
24025303203,Middle
24025303204,Middle
24025303205,Upper
24025303206,Upper
24025303300,Upper
24025303400,Upper
24025303501,Upper
24025303502,Upper
24025303602,Upper
24025303603,Upper
24025303605,Middle
24025303606,Upper
24025303700,Middle
24025303801,Middle
24025303802,Middle
24025303803,Moderate
24025303900,Middle
24025304101,Middle
24025304102,Middle
24025304201,Upper
24025304202,Middle
24025305100,Upper
24025305200,Middle
24025305300,Middle
24025306100,Moderate
24025306200,Middle
24025306300,Upper
24025306400,Middle
24025306500,Middle
24027601103,Upper
24027601104,Upper
24027601105,Upper
24027601107,Moderate
24027601108,Middle
24027601203,Upper
24027601204,Middle
24027601205,Middle
24027601206,Upper
24027602100,Upper
24027602201,Upper
24027602202,Upper
24027602302,Upper
24027602303,Upper
24027602304,Upper
24027602305,Upper
24027602306,Upper
24027602600,Moderate
24027602700,Upper
24027602800,Upper
24027602900,Upper
24027603001,Upper
24027603003,Upper
24027603004,Upper
24027604001,Upper
24027604003,Upper
24027604004,Upper
24027605103,Upper
24027605104,Upper
24027605105,Upper
24027605106,Upper
24027605401,Middle
24027605403,Middle
24027605404,Upper
24027605502,Upper
24027605503,Middle
24027605504,Upper
24027605505,Upper
24027605601,Middle
24027605602,Upper
24027606601,Upper
24027606603,Middle
24027606604,Middle
24027606606,Middle
24027606607,Upper
24027606701,Upper
24027606704,Middle
24027606706,Upper
24027606708,Middle
24027606803,Middle
24027606804,Upper
24027606805,Upper
24027606807,Upper
24027606808,Upper
24027606901,Middle
24027606904,Middle
24027606905,Upper
24027606906,Middle
24027606907,Middle
24035810100,Moderate
24035810200,Moderate
24035810300,Middle
24035810400,Middle
24035810500,Middle
24035810600,Upper
24035810700,Middle
24035810800,Upper
24035810901,Upper
24035810902,Middle
24035811000,Middle
24035990000,Unknown
24035990100,Unknown
24035990200,Unknown
24510010100,Upper
24510010200,Upper
24510010300,Upper
24510010400,Upper
24510010500,Upper
24510020100,Upper
24510020200,Upper
24510020300,Upper
24510030100,Low
24510030200,Middle
24510040100,Moderate
24510040200,Unknown
24510060100,Unknown
24510060200,Moderate
24510060300,Middle
24510060400,Moderate
24510070100,Low
24510070200,Low
24510070300,Moderate
24510070400,Low
24510080101,Middle
24510080102,Low
24510080200,Low
24510080301,Low
24510080302,Moderate
24510080400,Low
24510080500,Low
24510080600,Moderate
24510080700,Low
24510080800,Low
24510090100,Moderate
24510090200,Middle
24510090300,Moderate
24510090400,Low
24510090500,Low
24510090600,Moderate
24510090700,Low
24510090800,Low
24510090900,Low
24510100100,Low
24510100200,Low
24510100300,Unknown
24510110100,Upper
24510110200,Upper
24510120100,Upper
24510120201,Upper
24510120202,Middle
24510120300,Moderate
24510120400,Middle
24510120500,Middle
24510120600,Moderate
24510120700,Moderate
24510130100,Middle
24510130200,Middle
24510130300,Moderate
24510130400,Low
24510130600,Middle
24510130700,Middle
24510130803,Moderate
24510130804,Moderate
24510130805,Middle
24510130806,Middle
24510140100,Middle
24510140200,Low
24510140300,Moderate
24510150100,Low
24510150200,Low
24510150300,Low
24510150400,Low
24510150500,Low
24510150600,Moderate
24510150701,Moderate
24510150702,Moderate
24510150800,Moderate
24510150900,Moderate
24510151000,Moderate
24510151100,Moderate
24510151200,Low
24510151300,Low
24510160100,Low
24510160200,Low
24510160300,Moderate
24510160400,Low
24510160500,Low
24510160600,Low
24510160700,Low
24510160801,Moderate
24510160802,Low
24510170100,Unknown
24510170200,Unknown
24510170300,Unknown
24510180300,Unknown
24510190100,Low
24510190200,Moderate
24510190300,Low
24510200100,Low
24510200200,Low
24510200300,Low
24510200400,Low
24510200500,Low
24510200600,Low
24510200701,Low
24510200702,Low
24510200800,Low
24510210100,Moderate
24510210200,Low
24510220100,Upper
24510230100,Middle
24510230200,Middle
24510230300,Middle
24510240100,Upper
24510240200,Upper
24510240300,Upper
24510240400,Upper
24510250101,Moderate
24510250102,Moderate
24510250103,Moderate
24510250203,Low
24510250204,Low
24510250205,Low
24510250206,Middle
24510250207,Low
24510250301,Low
24510250303,Low
24510250401,Low
24510250402,Unknown
24510250500,Low
24510250600,Unknown
24510260101,Moderate
24510260102,Moderate
24510260201,Moderate
24510260202,Low
24510260203,Low
24510260301,Moderate
24510260302,Moderate
24510260303,Low
24510260401,Moderate
24510260402,Low
24510260403,Moderate
24510260404,Moderate
24510260501,Moderate
24510260604,Low
24510260605,Moderate
24510260700,Middle
24510260800,Low
24510260900,Upper
24510261000,Moderate
24510261100,Upper
24510270101,Middle
24510270102,Moderate
24510270200,Middle
24510270301,Middle
24510270302,Middle
24510270401,Moderate
24510270402,Middle
24510270501,Middle
24510270502,Middle
24510270600,Moderate
24510270701,Low
24510270702,Moderate
24510270703,Middle
24510270801,Moderate
24510270802,Moderate
24510270803,Moderate
24510270804,Middle
24510270805,Moderate
24510270901,Moderate
24510270902,Moderate
24510270903,Middle
24510271001,Low
24510271002,Low
24510271101,Middle
24510271102,Upper
24510271200,Upper
24510271300,Upper
24510271400,Upper
24510271501,Upper
24510271503,Upper
24510271600,Low
24510271700,Moderate
24510271801,Moderate
24510271802,Low
24510271900,Middle
24510272003,Moderate
24510272004,Middle
24510272005,Upper
24510272006,Moderate
24510272007,Moderate
24510280101,Low
24510280102,Moderate
24510280200,Middle
24510280301,Moderate
24510280302,Moderate
24510280401,Moderate
24510280402,Moderate
24510280403,Moderate
24510280404,Low
24510280500,Low
24510280600,Low
24021740200,Middle
24021750100,Moderate
24021750200,Middle
24021750300,Low
24021750504,Moderate
24021750505,Moderate
24021750506,Moderate
24021750507,Moderate
24021750508,Moderate
24021750600,Middle
24021750701,Middle
24021750702,Low
24021750801,Unknown
24021750802,Middle
24021750804,Moderate
24021750805,Middle
24021751001,Middle
24021751002,Moderate
24021751003,Moderate
24021751004,Middle
24021751201,Middle
24021751202,Middle
24021751203,Middle
24021751301,Middle
24021751302,Middle
24021751600,Moderate
24021751701,Middle
24021751702,Middle
24021751801,Middle
24021751802,Middle
24021751902,Middle
24021751903,Upper
24021751904,Upper
24021751905,Middle
24021751906,Upper
24021752001,Middle
24021752101,Middle
24021752102,Middle
24021752201,Middle
24021752202,Upper
24021752205,Middle
24021752206,Upper
24021752301,Middle
24021752302,Middle
24021752303,Middle
24021752501,Middle
24021752502,Upper
24021752601,Middle
24021752602,Middle
24021752603,Middle
24021752801,Middle
24021752802,Middle
24021752900,Moderate
24021753001,Moderate
24021753002,Moderate
24021765100,Moderate
24021766800,Moderate
24021767500,Moderate
24021767600,Middle
24021770700,Middle
24021772200,Low
24021773500,Moderate
24021775302,Middle
24021775400,Moderate
24021775600,Upper
24031700101,Upper
24031700103,Upper
24031700104,Middle
24031700105,Middle
24031700204,Moderate
24031700206,Middle
24031700207,Middle
24031700208,Middle
24031700209,Upper
24031700210,Upper
24031700306,Middle
24031700308,Middle
24031700309,Moderate
24031700310,Moderate
24031700313,Middle
24031700314,Upper
24031700315,Upper
24031700316,Middle
24031700317,Middle
24031700318,Middle
24031700400,Upper
24031700500,Upper
24031700604,Upper
24031700606,Middle
24031700608,Upper
24031700610,Middle
24031700611,Upper
24031700613,Middle
24031700614,Moderate
24031700615,Upper
24031700616,Upper
24031700617,Upper
24031700618,Upper
24031700706,Moderate
24031700710,Middle
24031700711,Middle
24031700713,Low
24031700715,Moderate
24031700718,Middle
24031700720,Middle
24031700721,Low
24031700723,Middle
24031700724,Low
24031700725,Low
24031700726,Moderate
24031700727,Moderate
24031700728,Middle
24031700729,Middle
24031700730,Middle
24031700731,Low
24031700732,Moderate
24031700733,Moderate
24031700810,Middle
24031700811,Moderate
24031700812,Middle
24031700813,Moderate
24031700815,Moderate
24031700818,Moderate
24031700819,Moderate
24031700820,Moderate
24031700822,Moderate
24031700823,Middle
24031700824,Upper
24031700826,Upper
24031700828,Upper
24031700829,Middle
24031700830,Moderate
24031700832,Moderate
24031700833,Middle
24031700834,Moderate
24031700835,Middle
24031700836,Moderate
24031700837,Moderate
24031700838,Middle
24031700839,Middle
24031700901,Middle
24031700902,Moderate
24031700903,Moderate
24031700904,Moderate
24031700905,Middle
24031701001,Middle
24031701002,Upper
24031701004,Middle
24031701005,Upper
24031701006,Upper
24031701007,Middle
24031701101,Middle
24031701102,Moderate
24031701201,Moderate
24031701202,Upper
24031701205,Upper
24031701206,Upper
24031701210,Upper
24031701211,Middle
24031701212,Upper
24031701214,Upper
24031701215,Middle
24031701216,Middle
24031701218,Moderate
24031701219,Low
24031701220,Upper
24031701221,Upper
24031701222,Upper
24031701223,Middle
24031701303,Upper
24031701304,Upper
24031701306,Upper
24031701307,Upper
24031701308,Upper
24031701312,Middle
24031701313,Upper
24031701314,Middle
24031701315,Middle
24031701316,Middle
24031701317,Upper
24031701407,Middle
24031701408,Middle
24031701409,Upper
24031701414,Middle
24031701415,Moderate
24031701417,Moderate
24031701418,Middle
24031701422,Low
24031701423,Moderate
24031701424,Middle
24031701425,Middle
24031701426,Middle
24031701427,Middle
24031701503,Middle
24031701505,Moderate
24031701506,Upper
24031701507,Upper
24031701508,Low
24031701509,Low
24031701601,Moderate
24031701602,Low
24031701701,Upper
24031701702,Moderate
