GEOID,year,total_small_business_loan_dollars
10001040100,2014,2023000
10001040201,2014,3086738.35342607
10001040203,2014,2722000
10001040204,2014,1605799.99999983
10001040205,2014,811227.27272674
10001040206,2014,1568372.72727344
10001040501,2014,979000
10001040502,2014,99155.1724137789
10001040700,2014,2522746.38919087
10001040900,2014,563000
10001041000,2014,1012993.55877613
10001041101,2014,132832.964025601
10001041200,2014,3662286.23188407
10001041300,2014,7823196.26168224
10001041400,2014,5114066.66666667
10001041500,2014,1021943.68039679
10001041600,2014,3362894.73684211
10001041701,2014,3398032.88260011
10001041702,2014,365000
10001041802,2014,1680865.77181208
10001041803,2014,1260000.00000034
10001041804,2014,719999.999999656
10001041900,2014,2416000
10001042000,2014,358000
10001042100,2014,1505000
10001042203,2014,673242.396930322
10001042204,2014,399502.202643172
10001042205,2014,518651.982378855
10001042206,2014,120633.540372671
10001042207,2014,126819.875776398
10001042208,2014,256425.894195757
10001042500,2014,879985.509063387
10001042801,2014,480432.989690722
10001042802,2014,1245567.01030928
10001042900,2014,212000
10001043000,2014,1753000
10001043100,2014,217000
10001043202,2014,1621146.61568427
10001043300,2014,3707253.61080913
10001043400,2014,2865003.84049682
10001980000,2014,60320.2153587594
10003000200,2014,2015647.9027266
10003000300,2014,179229.657117218
10003000400,2014,1509446.3753732
10003000500,2014,659000
10003000601,2014,240875.329092807
10003000602,2014,2389000
10003000900,2014,414000
10003001100,2014,2271664.34979789
10003001200,2014,6588489.79591837
10003001300,2014,6358897.95918367
10003001400,2014,1339714.28571429
10003001500,2014,623686.341798216
10003001600,2014,2380710.48359861
10003001902,2014,5366322.956507
10003002100,2014,602000
10003002200,2014,728000
10003002300,2014,1442000
10003002400,2014,4725425.83637899
10003002500,2014,490129.032258065
10003002600,2014,44000
10003002700,2014,3399755.96596596
10003002800,2014,26154836.783989
10003002900,2014,5393000
10003003002,2014,667837.904945626
10003010104,2014,1418000
10003010105,2014,2972417.91044776
10003010106,2014,1176582.08955224
10003010200,2014,78000
10003010300,2014,321000
10003010400,2014,1791000
10003010502,2014,3736000
10003010703,2014,772991.666666023
10003010704,2014,1726939.83197039
10003010800,2014,3751193.86872749
10003010900,2014,658833.333333333
10003011000,2014,1489095.23809536
10003011100,2014,1440000
10003011201,2014,7958000
10003011202,2014,864731.631382316
10003011203,2014,745421.594424135
10003011204,2014,1571505.86510264
10003011205,2014,202340.909090909
10003011206,2014,1124655.17241379
10003011300,2014,2388344.82758621
10003011400,2014,2503000
10003011500,2014,2928000
10003011600,2014,5615719.29824561
10003011700,2014,4565834.32638118
10003011800,2014,8874096.77419355
10003011900,2014,7678659.17908938
10003012000,2014,8516032.25806452
10003012100,2014,3211321.10091743
10003012200,2014,2499775.90766208
10003012300,2014,853618.091159494
10003012400,2014,5930250.27707026
10003012500,2014,1490018.04712951
10003012600,2014,513193.432800847
10003012700,2014,4405087.49266001
10003012900,2014,9391071.52993077
10003013000,2014,1082000
10003013100,2014,2621794.87179487
10003013200,2014,2006205.12820513
10003013300,2014,602000
10003013400,2014,461000
10003013501,2014,2506903.22580645
10003013505,2014,1745000
10003013506,2014,3824000
10003013507,2014,1588974.32521396
10003013508,2014,4010903.22580645
10003013604,2014,3144550.61388232
10003013607,2014,2083739.13043478
10003013608,2014,697438.356164384
10003013610,2014,1390853.90450154
10003013611,2014,637000
10003013612,2014,2315557.23158829
10003013613,2014,1336494.6511564
10003013614,2014,2309739.7260274
10003013615,2014,913863.01369863
10003013700,2014,1018794.11764706
10003013800,2014,14069133.6489177
10003013901,2014,1050087.98124869
10003013903,2014,515000
10003013905,2014,932180.851064822
10003013906,2014,2438636.62518271
10003014000,2014,4281070.01698313
10003014100,2014,1335802.00222469
10003014200,2014,5279589.79541566
10003014301,2014,570940.298584878
10003014302,2014,506159.861147047
10003014402,2014,631322.033898305
10003014403,2014,3232677.9661017
10003014404,2014,1273000
10003014501,2014,7589456.14035088
10003014502,2014,3302678.10004963
10003014702,2014,2754321.89995038
10003014703,2014,589984.375
10003014705,2014,3948050.10775862
10003014706,2014,11083000
10003014803,2014,7473310.34482759
10003014808,2014,2921022.22689881
10003014809,2014,5953675.67567568
10003014810,2014,1292136.34408597
10003014811,2014,3852760
10003014812,2014,2968520
10003014813,2014,3267644.26014841
10003014814,2014,2430453.67088608
10003014903,2014,272555.555555556
10003014904,2014,1131525.76671694
10003014906,2014,458277.777777778
10003014907,2014,409000
10003014908,2014,21000
10003014909,2014,847524.590163935
10003015000,2014,11123834.7316265
10003015100,2014,3029980.07370817
10003015200,2014,5567670.85749454
10003015400,2014,6915335.00636566
10003015502,2014,5509038.33225495
10003015600,2014,1154824.90081173
10003015802,2014,2519995.29569892
10003015900,2014,599633.427295619
10003016000,2014,2610507.79268663
10003016100,2014,313612.128184638
10003016200,2014,3669147.27975805
10003016301,2014,1991644.14414414
10003016306,2014,926017.094017094
10003016307,2014,574769.230769231
10003016308,2014,3768576.14970299
10003016309,2014,7852760.81783213
10003016401,2014,2703267.32673284
10003016404,2014,1439378.74578639
10003016608,2014,1904519.53005769
10003016609,2014,2533085.10638729
10003016610,2014,5281734.68936667
10003016611,2014,1903469.55375189
10003016612,2014,1327622.15491924
10003016613,2014,817741.935483494
10003016614,2014,1717258.06451651
10003016805,2014,371712.574850077
10003016806,2014,1106287.42514992
10003016807,2014,386183.823528844
10003016808,2014,2114816.17647116
10003016901,2014,1084645.55637081
10003016904,2014,620216.090203108
10003980100,2014,355.267325158037
10003990100,2014,21508.310315918
10005050101,2014,1525233.90463632
10005050103,2014,1426271.65564869
10005050104,2014,3861787.73584905
10005050105,2014,415310.810810811
10005050200,2014,490000
10005050302,2014,1499216.95531454
10005050303,2014,2484982.8009828
10005050304,2014,3560798.52579853
10005050401,2014,418000
10005050403,2014,606025.862068966
10005050405,2014,2482152.33415233
10005050406,2014,2819534.48275864
10005050407,2014,3232761.56485637
10005050408,2014,522982.75862069
10005050501,2014,3415000
10005050503,2014,2191000
10005050505,2014,1157768.8172043
10005050506,2014,2155231.1827957
10005050601,2014,1833000
10005050603,2014,1484595.74468283
10005050604,2014,2787404.25531717
10005050701,2014,1850000
10005050703,2014,326000
10005050706,2014,1563580.83832335
10005050707,2014,289625.390838383
10005050708,2014,231374.609161617
10005050709,2014,351241.706160589
10005050710,2014,466492.890995261
10005050711,2014,340265.402844151
10005050801,2014,383651.372671843
10005050804,2014,2378838.70967742
10005050805,2014,2230161.29032258
10005050806,2014,3447273.07999722
10005050807,2014,1833451.7914127
10005050808,2014,1815098.93322322
10005050903,2014,3215999.99999968
10005050904,2014,3215999.99999544
10005050905,2014,3161536.28277908
10005051008,2014,1603654.28893663
10005051009,2014,1248110.31144317
10005051010,2014,697829.268295236
10005051011,2014,1015024.39024127
10005051012,2014,297928.571428183
10005051013,2014,381071.428571818
10005051014,2014,1075572.42648065
10005051015,2014,1121652.06331527
10005051016,2014,2148216.56050955
10005051017,2014,3629745.22292994
10005051101,2014,2797000
10005051102,2014,3244504
10005051103,2014,1615915.16167665
10005051201,2014,1102493.01050471
10005051202,2014,788808.893209311
10005051203,2014,437000
10005051204,2014,1021784.08631124
10005051205,2014,2086914.00997474
10005051302,2014,3120000
10005051307,2014,406810.256409574
10005051308,2014,665189.743590426
10005051309,2014,629904.61732275
10005051310,2014,360095.38267725
10005051311,2014,383426.846928135
10005051312,2014,636573.153071865
10005051313,2014,1040547.52851795
10005051314,2014,1097452.47148206
10005051400,2014,3299000
10005051501,2014,606683.0188687
10005051502,2014,1330316.9811313
10005051701,2014,1291132.27513228
10005051702,2014,1038867.72486773
10005051801,2014,298000
10005051802,2014,1271000
10005051900,2014,1836000
10005980000,2014,1543124.61627137
10005990000,2014,
11001000101,2014,3098970.16235191
11001000102,2014,20434024.8706789
11001000201,2014,376442.317603918
11001000202,2014,11459717.5938025
11001000300,2014,5221376.47455342
11001000400,2014,2663358.98373241
11001000501,2014,2565842.80186126
11001000502,2014,1301000
11001000600,2014,3210212.76595745
11001000702,2014,229856.834610385
11001000703,2014,321985.507246377
11001000704,2014,658328.3505748
11001000802,2014,1217391.97842939
11001000803,2014,142478.260869565
11001000804,2014,2905257.51758197
11001000902,2014,3142293.20705571
11001000903,2014,2002500
11001000904,2014,3070500
11001001002,2014,3296000
11001001003,2014,3582303.03030032
11001001004,2014,4861696.96969968
11001001100,2014,13850000
11001001200,2014,3812787.23404255
11001001301,2014,1604018.50158589
11001001303,2014,1958793.35423102
11001001304,2014,2690922.16116955
11001001401,2014,638000
11001001402,2014,1370000
11001001500,2014,3069978.02197814
11001001600,2014,4966021.97802186
11001001702,2014,2818000
11001001803,2014,106990.949782291
11001001804,2014,386508.786862349
11001001901,2014,915000
11001001902,2014,168000
11001002001,2014,312009.050217709
11001002002,2014,1461491.21313765
11001002101,2014,3319000
11001002102,2014,2630000
11001002201,2014,119000
11001002202,2014,144052.631578947
11001002301,2014,593947.368421053
11001002302,2014,449751.44230725
11001002400,2014,1906090.40009125
11001002501,2014,1338000
11001002503,2014,847131.118495574
11001002504,2014,578925.925925926
11001002600,2014,1804643.8218402
11001002702,2014,1032760.89630321
11001002703,2014,638733.333333333
11001002704,2014,268555.49450667
11001002801,2014,181000
11001002802,2014,321000
11001002900,2014,1706000
11001003000,2014,598000
11001003100,2014,1124942.9555785
11001003200,2014,1730243.87188721
11001003301,2014,663000
11001003302,2014,931000
11001003400,2014,288514.285714286
11001003500,2014,1597000
11001003600,2014,1258000
11001003701,2014,1230153.84615385
11001003702,2014,768846.153846154
11001003801,2014,1401600
11001003802,2014,2102400
11001003901,2014,435375
11001003902,2014,728929.054054054
11001004001,2014,834285.714285714
11001004002,2014,1519000
11001004100,2014,3451532.5991841
11001004201,2014,1783000
11001004202,2014,6234000
11001004300,2014,1323000
11001004401,2014,3100500
11001004402,2014,3100500
11001004600,2014,2442884.61538462
11001004702,2014,2047975.45013383
11001004703,2014,506977.43586672
11001004704,2014,582400
11001004801,2014,822115.384615385
11001004802,2014,1490622.56413328
11001004901,2014,1717000
11001004902,2014,1363000
11001005001,2014,1130052.63157895
11001005003,2014,4129000
11001005004,2014,8390947.36842105
11001005202,2014,2787076.92307692
11001005203,2014,1741923.07692308
11001005302,2014,3367173.91304348
11001005303,2014,5237826.08695652
11001005501,2014,3133000
11001005502,2014,6266000
11001005503,2014,2651000
11001005601,2014,2723911.80342255
11001005602,2014,3050874.82245405
11001005801,2014,7946857.14285714
11001005802,2014,20724758.0664259
11001005900,2014,3697024.54986617
11001006400,2014,980000
11001006500,2014,5685796.59574468
11001006600,2014,3180480
11001006700,2014,1328000
11001006801,2014,149000
11001006802,2014,2153000
11001006804,2014,495192.307692308
11001006900,2014,3519000
11001007000,2014,5003659.57446809
11001007100,2014,1975807.69230769
11001007201,2014,867127.659574468
11001007202,2014,289042.553191489
11001007203,2014,1129893.61702128
11001007301,2014,196482.746040681
11001007304,2014,75999.9999999655
11001007401,2014,1761064.45520573
11001007403,2014,728256.441036757
11001007404,2014,89592.9118773946
11001007406,2014,20000
11001007407,2014,89384.6153846154
11001007408,2014,40615.3846153846
11001007409,2014,23076.8922966114
11001007502,2014,56636.3636363636
11001007503,2014,1557723.40425532
11001007504,2014,56363.6363636364
11001007601,2014,1763723.40425532
11001007603,2014,89000
11001007604,2014,204000
11001007605,2014,64000
11001007703,2014,34000
11001007707,2014,117000
11001007708,2014,14030.0550235551
11001007709,2014,177969.944976445
11001007803,2014,91000
11001007804,2014,1579000
11001007806,2014,15000
11001007807,2014,233833.333333333
11001007808,2014,124166.666666667
11001007809,2014,221000
11001007901,2014,402000
11001007903,2014,426000
11001008001,2014,594000
11001008002,2014,1366000
11001008100,2014,417000
11001008200,2014,2296000
11001008301,2014,3220000
11001008302,2014,1134000
11001008402,2014,479000
11001008410,2014,2447000
11001008701,2014,218000
11001008702,2014,578000
11001008802,2014,761000
11001008803,2014,5127000
11001008804,2014,1869000
11001008903,2014,101809.881598643
11001008904,2014,219190.118401357
11001009000,2014,1113000
11001009102,2014,1545000
11001009201,2014,1294222.22222312
11001009203,2014,352000
11001009204,2014,223000
11001009301,2014,3261777.77777688
11001009302,2014,1073000
11001009400,2014,1451000
11001009503,2014,135000
11001009504,2014,1566200
11001009505,2014,3499266.66666667
11001009507,2014,44000
11001009508,2014,1550368.68219569
11001009509,2014,59000
11001009510,2014,577564.651137647
11001009511,2014,76000
11001009601,2014,964272.970532377
11001009602,2014,27127.0294676226
11001009603,2014,821000
11001009604,2014,33600
11001009700,2014,26666.6666666667
11001009801,2014,234866.666666667
11001009802,2014,16000
11001009803,2014,62066.6666666667
11001009804,2014,88066.6666666667
11001009807,2014,277000
11001009810,2014,44000
11001009811,2014,556000
11001009901,2014,117000
11001009902,2014,36000
11001009903,2014,30000
11001009904,2014,18000
11001009905,2014,47000
11001009906,2014,130000
11001009907,2014,6000
11001010100,2014,31501605.2631579
11001010201,2014,283623.188405797
11001010202,2014,3631215.3871646
11001010300,2014,321000
11001010400,2014,1532413.07836556
11001010500,2014,1363000
11001010601,2014,840131.578947369
11001010602,2014,3444539.47368421
11001010603,2014,2100328.94736842
11001010700,2014,97909000
11001010800,2014,5479000
11001010900,2014,658000
11001011001,2014,117642.857142857
11001011002,2014,431357.142857143
11001011100,2014,9440000
11001980000,2014,1554279.53466581
24001000100,2014,930000
24001000200,2014,435329.034933753
24001000500,2014,849446.902522767
24001000600,2014,274114.227477595
24001000700,2014,577000
24001000800,2014,337000
24001001000,2014,1257613.40725805
24001001100,2014,579493.975903614
24001001200,2014,1186031.12263845
24001001300,2014,2054980.92555433
24001001401,2014,2665290.38031321
24001001402,2014,188627.309236948
24001001502,2014,2006442.95302013
24001001503,2014,128000
24001001600,2014,448960.938677312
24001001700,2014,2236000
24001001800,2014,388761.331943786
24001001900,2014,438332.272993237
24001002000,2014,433245.391946736
24001002100,2014,308621.743235097
24001002200,2014,668075.954403949
24001002300,2014,1328496.42780783
24003701101,2014,2416588.23529412
24003701103,2014,3936981.64504266
24003701104,2014,4157018.35495734
24003701201,2014,2457562.18905473
24003701202,2014,2797437.81094527
24003701301,2014,3446063.15789474
24003701302,2014,2399936.84210526
24003701400,2014,2808003.16885067
24003702100,2014,1824571.42857143
24003702204,2014,2707771.05146647
24003702205,2014,8789000
24003702206,2014,485000
24003702208,2014,2166238.09523809
24003702209,2014,524761.904761905
24003702300,2014,16450640.7132394
24003702402,2014,20236000
24003702500,2014,4600580.64516129
24003702601,2014,1650000
24003702602,2014,1672578.70171611
24003702702,2014,8741000
24003702703,2014,6913037.8513688
24003702704,2014,4263962.1486312
24003706102,2014,6418366.66402056
24003706103,2014,5598515.98273834
24003706302,2014,6165000
24003706303,2014,1625722.76214834
24003706304,2014,1734350.71004859
24003706402,2014,664000
24003706403,2014,2490434.7826087
24003706404,2014,933913.043478261
24003706500,2014,15142352.688172
24003706600,2014,10179033.3359654
24003706700,2014,36150.6839423267
24003707001,2014,2757115.6462585
24003707002,2014,1081799.60797878
24003708001,2014,2255728.9787958
24003708004,2014,2926067.62760953
24003730101,2014,1205333.33333638
24003730102,2014,6018774.29092707
24003730204,2014,1069143.97228681
24003730205,2014,84702.0878006049
24003730206,2014,313307.546221845
24003730300,2014,998883.116883117
24003730401,2014,790000
24003730403,2014,1245086.82170543
24003730404,2014,1498046.51162791
24003730507,2014,2088735.29411765
24003730508,2014,888823.529411765
24003730509,2014,607517.825311737
24003730510,2014,639173.558100215
24003730511,2014,295666.666666667
24003730512,2014,504136.986049753
24003730513,2014,1661634.28551578
24003730514,2014,2895996.70331067
24003730601,2014,5550883.11688126
24003730603,2014,3323000
24003730605,2014,1908490.56603774
24003730606,2014,2137509.43396226
24003730701,2014,4166896.55172414
24003730702,2014,6433103.44827586
24003730800,2014,4701315.78947368
24003730901,2014,1475000
24003730902,2014,1593000
24003731002,2014,773000
24003731003,2014,2490000
24003731004,2014,437726.293103269
24003731103,2014,1918000
24003731104,2014,230692.709725608
24003731105,2014,1257192.40724763
24003731106,2014,2656186.75037499
24003731107,2014,2878886.05007482
24003731201,2014,2740672.26890756
24003731205,2014,4880914.72868217
24003731206,2014,2705085.27131783
24003731207,2014,1190798.31932773
24003731208,2014,1773529.41176471
24003731209,2014,3862217.02511656
24003731210,2014,2426006.78101316
24003731303,2014,1186000
24003731306,2014,3629000
24003731307,2014,2222956.52173913
24003731308,2014,1276000
24003731309,2014,738612.903225807
24003731310,2014,228387.096774194
24003731312,2014,539521.276595745
24003731313,2014,265478.723404255
24003740103,2014,2791532.14731586
24003740104,2014,556861.111111111
24003740105,2014,14000
24003740106,2014,2464823.38567568
24003740107,2014,2305736.47910149
24003740108,2014,1821574.094211
24003740203,2014,1408242.42424242
24003740204,2014,1425835.29411765
24003740205,2014,1530164.70588235
24003740303,2014,1985000
24003740304,2014,5624000
24003740305,2014,714627.6041663
24003740400,2014,89922.7031708744
24003740501,2014,3209730.27326868
24003740502,2014,3192560.42440574
24003740601,2014,1104607.34463277
24003740602,2014,101975.988700565
24003740603,2014,296020.988244876
24003740701,2014,965925.45972394
24003740703,2014,1438840.6827861
24003740704,2014,2256350.32172756
24003740800,2014,4303000
24003740900,2014,1499525.64102564
24003741000,2014,4870727.27272974
24003750101,2014,1082450.27811887
24003750102,2014,403514.635603345
24003750201,2014,2553000
24003750204,2014,2448035.08627779
24003750300,2014,3723000
24003750400,2014,836400
24003750801,2014,10025495.1456311
24003750803,2014,177847.311827957
24003750804,2014,2227821.5210356
24003750900,2014,5468000
24003751000,2014,3277824.56140351
24003751102,2014,8926894.57698499
24003751103,2014,247792.207792208
24003751200,2014,26702996.4178007
24003751400,2014,6910144.67253177
24003751500,2014,771117.322599827
24003751600,2014,1642000
24003751700,2014,1496000
24003980000,2014,604484.513557113
24005400100,2014,4317000
24005400200,2014,172000
24005400400,2014,3282000
24005400500,2014,2067000
24005400600,2014,421000
24005400701,2014,1279000
24005400702,2014,320000
24005400800,2014,1425000
24005400900,2014,232000
24005401000,2014,1083000
24005401101,2014,351000
24005401102,2014,5972000
24005401200,2014,291000
24005401301,2014,305259.259259259
24005401302,2014,72740.7407407408
24005401400,2014,217000
24005401503,2014,4736000
24005401504,2014,2155000
24005401505,2014,1696000
24005401506,2014,235000
24005401507,2014,2754000
24005402201,2014,1258000
24005402202,2014,772000
24005402302,2014,784000
24005402303,2014,1247000
24005402304,2014,1351000
24005402305,2014,132000
24005402306,2014,24000
24005402307,2014,377000
24005402403,2014,210000
24005402404,2014,76000
24005402405,2014,488000
24005402407,2014,8219832.98730715
24005402408,2014,66140.3508770546
24005402409,2014,118026.661815791
24005402503,2014,1925000
24005402504,2014,2460000
24005402505,2014,25000
24005402506,2014,301000
24005402510,2014,340572.221803514
